model,cutoff,RMSE
Naive,1990-04-05,5.420280845532308
Naive,1990-07-04,2.5998290542093554
Naive,1990-10-02,3.7235884723088173
SeasonalNaive,1990-04-05,3.3806968380958256
SeasonalNaive,1990-07-04,3.6546773683413787
SeasonalNaive,1990-10-02,3.749548120922188
ARIMA,1990-04-05,3.5567614013091555
ARIMA,1990-07-04,3.113936718029789
ARIMA,1990-10-02,3.4170429309319026
AutoARIMA,1990-04-05,3.590298983879543
AutoARIMA,1990-07-04,3.269674337237552
AutoARIMA,1990-10-02,3.407681805868389
HoltWinters,1990-04-05,2.4201046783237077
HoltWinters,1990-07-04,2.8512059883227243
HoltWinters,1990-10-02,2.7205912243716215
AutoETS,1990-04-05,4.7571644374307285
AutoETS,1990-07-04,2.6381568248882266
AutoETS,1990-10-02,3.7988037911452595
Theta,1990-04-05,2.517892498469023
Theta,1990-07-04,2.9374776600765538
Theta,1990-10-02,2.7221131542603687
AutoTheta,1990-04-05,2.517892498469023
AutoTheta,1990-07-04,2.9374776600765538
AutoTheta,1990-10-02,2.7221131542603687
ML-RF,1990-04-05,2.456954617904947
ML-RF,1990-07-04,2.53796495904363
ML-RF,1990-10-02,2.9858348632427
ML-HGB,1990-04-05,2.4064278136547137
ML-HGB,1990-07-04,2.5714466899403
ML-HGB,1990-10-02,2.769611251358252
ML-Ridge,1990-04-05,2.6942967803395
ML-Ridge,1990-07-04,2.480455298298185
ML-Ridge,1990-10-02,2.9483687054371948
DL-LSTM,1990-04-05,3.4748271889924474
DL-LSTM,1990-07-04,4.023583768004478
DL-LSTM,1990-10-02,2.567810167860747
DL-MLP,1990-04-05,2.433255148617535
DL-MLP,1990-07-04,2.5680213828939484
DL-MLP,1990-10-02,2.7972181455806666
DL-NHITS,1990-04-05,2.8520494571531265
DL-NHITS,1990-07-04,2.710502077144931
DL-NHITS,1990-10-02,3.0837416390205843
